Income_count,Employment_count,CIF,ALCOHOL,DEPRESS,EMERG,Attendance,Attainment,Noquals,NEET,PT_GP,PT_Post,PT_retail,crime_count,overcrowded_count,nocentralheat_count
285,145,215,158.4862654,0.205479452,115.922516,0.712025317,4.71428571,138.5914102,0.08,10.5095793,8.365383812,9.082313315,33.01549619,168,16
280,155,160,167.7192521,0.203356367,118.0112086,0.743478261,4.58823529,165.8675208,0.19,11.09182491,6.189174975,10.73159499,60.02817489,213,4
305,220,230,398.1095864,0.233502538,147.9430848,0.74742268,4.52380952,155.4941447,0.32,10.97525701,4.833175778,10.94732272,38.0178441,203,26
130,70,185,328.7603307,0.247877759,133.7758992,0.785046729,5,162.3429967,0.2,9.836522009,5.473701376,10.03254868,23.01080038,120,9
135,70,95,119.1233553,0.187311178,99.5300572,0.838297872,5.14285714,134.4853259,0.16,9.94868205,8.772107552,10.0139487,43.02019201,118,19
220,165,215,84.72866368,0.218421053,148.4746663,0.715789474,4.96875,152.3850844,0.22,7.598785467,6.187240166,6.905229395,213.1000209,122,34
290,145,220,227.8828263,0.183150183,143.6296343,0.643333333,5,196.1796882,0.14,9.098142815,9.357869537,10.07362097,62.02911406,172,2
290,165,190,209.638024,0.219088937,134.9658454,0.634241245,4.625,186.2184879,0.17,8.905519699,8.929885111,9.650186079,83.03897527,167,14
200,135,215,315.9010102,0.29137931,150.063497,0.65625,5.125,188.0690855,0.14,10.35476957,9.442925614,10.55714521,29.01361786,62,1
190,130,190,128.4131742,0.210826211,125.0076362,0.700636943,4.73333333,171.7145466,0.34,9.661626847,9.451242481,10.28552236,63.02958364,141,7
70,30,60,18.7524373,0.166863905,90.85616191,0.720207254,4.8125,118.9116049,0.12,7.420794157,4.748811817,11.77761772,34.01596577,137,34
80,40,75,51.30921603,0.165986395,98.44201147,0.852631579,5.69230769,115.3555978,0.09,9.528018817,5.155859209,11.90189353,33.01549619,88,24
115,50,85,101.5735563,0.186544343,95.81902721,0.772972973,5.04,116.8488106,0.09,9.836088795,6.626202976,12.40545714,22.01033079,107,18
85,35,75,37.36307277,0.152985075,95.61157683,0.794642857,5.18181818,122.0673358,0.13,11.76254796,8.891885315,12.67451278,30.01408745,66,17
65,35,100,77.30540713,0.289198606,121.5286756,0.704545455,4.78947368,141.1757618,0.08,8.951445238,7.10625371,12.25910018,49.0230095,94,8
65,20,80,60.62662728,0.150847458,118.905896,0.766467066,4.71428571,125.5376936,0,6.865870887,6.587972135,12.82378672,39.01831368,89,3
200,75,170,382.3468565,0.224209078,163.5977114,0.651851852,5.15151515,165.3031683,0.09,9.552970464,4.448310517,14.02367786,26.01220912,158,14
235,125,205,309.6614023,0.211670481,158.8765536,0.720221607,4.475,164.7858388,0.19,10.34344411,3.953647948,11.11818757,29.01361786,190,10
150,65,130,61.05010281,0.183448276,115.4956241,0.676229508,4.56521739,142.9449936,0.09,5.384271719,5.803396355,14.55821781,30.01408745,163,4
165,95,185,153.0647957,0.208563536,132.4367615,0.686440678,4.36363636,142.7316282,0.11,5.672257137,9.126167845,16.17666424,18.00845247,127,14
190,110,165,108.9963067,0.227330779,119.6831498,0.707142857,4.35,160.3992622,0.21,9.545333681,7.278799729,14.23610721,32.01502661,113,24
145,60,145,75.3281884,0.188102894,112.5456167,0.784615385,4,145.2337641,0.08,7.287668066,6.502942614,12.04104904,20.00939163,114,3
150,75,115,114.609066,0.201101928,117.8105307,0.81147541,4.58333333,145.2545236,0.15,10.11305082,6.614842588,12.72875535,15.00704372,108,5
155,105,150,141.2854755,0.22542595,119.6934211,0.81300813,5.22222222,149.6151818,0.1,12.58463451,9.425164928,12.94693077,28.01314828,116,5
155,100,150,173.7450163,0.225536993,126.7001647,0.782945736,4.94444444,96.59555934,0.13,7.405752954,6.167955374,8.766294634,47.02207033,166,6
135,65,115,70.6158469,0.215462611,115.9526409,0.711656442,4.93333333,155.785738,0.13,6.915328208,7.760597113,11.73551834,16.0075133,107,11
85,60,120,34.2851601,0.168238994,104.7909336,0.641891892,4.5,122.7813449,0,8.561136608,10.15579061,15.98118625,23.01080038,137,3
190,100,105,100.1368519,0.129321383,131.4299585,0.770897833,5.13461538,178.6112535,0.11,3.749469017,6.856399394,11.50192266,128.0601064,123,16
100,55,125,127.7857358,0.21182266,111.1475476,0.810344828,5.1875,125.272375,0.24,7.31416128,8.02550889,12.44213367,32.01502661,77,22
110,65,125,279.461981,0.208130081,141.9298124,0.782608696,5.46153846,121.0022504,0.07,15.11204862,12.57551842,16.28401346,44.02066159,69,5
70,40,85,47.0705595,0.183574879,84.17759372,0.836956522,5.60869565,96.53163711,0.08,13.07257308,12.31221151,15.85530179,41.01925284,74,19
65,20,40,31.71794727,0.128803245,79.08977309,0.802768166,5.62962963,82.15688328,0.03,11.05830534,9.876007321,13.07164296,35.01643535,112,11
100,60,110,126.6370569,0.204976303,109.7699324,0.869230769,5.78571429,87.76676575,0.04,7.852416321,6.744071473,11.67336212,106.0497756,102,12
30,20,50,42.53373195,0.121621622,61.08706536,0.882978723,5.5,43.18343376,0,9.230421568,6.810480896,11.73183787,41.01925284,209,16
