id,Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
11,S01008427,Currie West,City of Edinburgh,1090,755,0.01,15,0.02,15,35,16.78790433,25.02651161,72,0.126605505,0,60.25310592,0.956228956,5.96551724,35.51118537,0.01,0.14204545,4.717721231,3.753008702,3.91216761,3.271829657,6.898169257,3.137866853,15.25156828,14.51084744,21.7703395,10.00469582,91.78620014,48,4,0.04494382,0.003745318
12,S01008428,Currie West,City of Edinburgh,679,390,0.1,70,0.08,30,75,50.13018043,46.59490787,110,0.157584683,0,100.3684215,0.840659341,5.52631579,109.6163052,0.04,0.04761905,3.39129692,1.888277728,2.246641974,2.468473055,4.315278549,3.830515333,6.805110895,5.593838857,9.200906055,3.001408745,44.20336885,61,4,0.090236686,0.00591716
13,S01008429,Currie East,City of Edinburgh,845,520,0.01,10,0.04,20,45,21.83137965,0,70,0.136094675,0,62.80258863,0.940639269,6,39.27445756,0.01,0.13178295,2.277648662,1.837791253,1.395799641,1.298761894,5.774151084,3.733839518,6.557972691,4.27677766,12.32519322,10.00469582,118.398767,25,6,0.029726516,0.007134364
14,S01008430,Currie East,City of Edinburgh,726,437,0.06,45,0.07,30,60,40.98350018,47.42552143,69,0.14600551,0,81.22669375,0.953367876,5.5,36.71476528,0.06,0.07518797,1.705753903,2.017995627,1.645202677,2.134822926,5.67197997,4.554465276,6.286831914,5.232747778,11.36275892,19.00892205,261.8308822,66,9,0.099099099,0.013513514
15,S01008431,Currie East,City of Edinburgh,842,503,0.04,35,0.05,25,55,10.79647848,82.40189544,54,0.149643705,0.052631579,52.50957448,0.939393939,6,41.53892869,0.02,0.15602837,2.595056481,3.342489088,2.598313514,1.817768069,6.612615036,5.039217946,11.22265424,9.175973983,15.83434985,3.001408745,35.64618462,40,3,0.047505938,0.003562945
16,S01008432,Currie East,City of Edinburgh,716,387,0.03,20,0.02,5,35,6.630255052,0,43,0.132681564,0,64.44099552,0.942528736,5.77272727,38.53259534,0.03,0.136,1.840567968,3.59439777,2.828630553,2.663635887,6.360289453,5.397788022,10.60388724,7.904622016,14.54001797,21.00986121,293.4338158,26,2,0.037089872,0.002853067
17,S01008433,Baberton and Juniper Green,City of Edinburgh,825,488,0.02,15,0.02,10,35,5.367791549,0,78,0.135757576,0,65.51284328,0.926174497,5.79166667,49.96417953,0.01,0.19101124,2.746974034,2.815887982,3.278615261,2.379219485,3.657551321,2.942139495,13.32387241,11.81731103,12.53160471,15.00704372,181.9035603,21,9,0.026022305,0.011152416
18,S01008434,Baberton and Juniper Green,City of Edinburgh,779,469,0.02,15,0.02,5,25,28.06839446,0,67,0.143774069,0,83.60782958,0.874439462,5.76,47.09169521,0.07,0.13333333,2.986705445,2.673402532,3.51607056,1.582428807,3.903786433,3.172435665,11.97883277,11.41043065,12.22622349,16.0075133,205.4879757,28,18,0.034956305,0.02247191
19,S01008435,Baberton and Juniper Green,City of Edinburgh,760,448,0.01,5,0.02,10,30,22.87253733,0,103,0.15,0.117647059,57.45362674,0.9,5.92,41.70915018,0.01,0.11818182,3.117551619,2.350619192,3.648426865,1.828532373,3.937287433,3.371185168,9.976240255,10.44414493,12.48451698,24.01126996,315.9377626,27,5,0.035248042,0.006527415
20,S01008436,Baberton and Juniper Green,City of Edinburgh,977,535,0.03,30,0.04,25,50,10.45231406,0,84,0.136131013,0,57.17472929,0.943877551,6.17647059,33.21999395,0.01,0.12707182,2.968042834,2.555263238,3.838623566,2.488482579,4.198894406,3.729224523,8.663985603,6.585614972,12.29663516,12.00563498,122.8826508,25,2,0.029904306,0.002392344
21,S01008437,Baberton and Juniper Green,City of Edinburgh,733,434,0.05,35,0.06,30,75,64.73810265,44.25324124,50,0.165075034,0,83.03452391,0.858156028,6.73333333,37.88203031,0,0.26829268,2.173753985,3.310391178,3.375123253,3.468383581,5.012556048,4.630659451,7.774866216,4.969521094,11.60469722,8.003756652,109.1917688,55,12,0.077683616,0.016949153
22,S01008438,Bonaly and The Pentlands,City of Edinburgh,473,325,0.01,5,0.02,5,25,28.69592362,63.65399002,61,0.126849894,0,71.56736223,0.968085106,6.4,39.74718365,0,0.2238806,3.791380489,3.284964013,3.667832996,2.266557262,6.128539109,5.271282331,11.47497737,12.35695265,25.952167,7.003287071,148.0610374,36,2,0.082379863,0.004576659
23,S01008439,Bonaly and The Pentlands,City of Edinburgh,1149,682,0.02,25,0.02,10,25,21.54612687,0,53,0.106179286,0,51.18724792,0.971061093,6.35,10.29627159,0,0.28846154,3.243926126,3.033415907,3.403573666,1.382417462,5.276850558,4.554358575,7.152683128,9.0844375,25.26934816,13.00610456,113.1949918,30,5,0.026978417,0.004496403
24,S01008440,Bonaly and The Pentlands,City of Edinburgh,1031,569,0.02,20,0.03,15,30,41.91806429,0,64,0.109602328,0.041666667,56.23694325,0.942857143,6.45833333,12.19312915,0.02,0.27702703,4.369417149,2.75882519,3.126579753,2.375686367,6.604329012,5.719843697,8.509438315,10.01617866,24.21025579,16.0075133,155.2620107,16,3,0.016048144,0.003009027
25,S01008441,Bonaly and The Pentlands,City of Edinburgh,480,278,0.01,5,0.02,5,35,9.92755448,0,93,0.102083333,0,50.79452345,0.968253968,6.2,24.09436586,0,0.22580645,3.825599642,2.92519883,3.276021518,2.462604812,4.988833596,4.369936608,6.949462339,8.924462384,23.37981719,6.002817489,125.0586977,11,8,0.023655914,0.017204301
26,S01008442,Bonaly and The Pentlands,City of Edinburgh,665,425,0.02,10,0.03,10,20,7.127786998,0,56,0.135338346,0.029411765,50.29127154,0.969230769,6.21428571,15.68840059,0.03,0.21428571,4.152149748,2.337663019,2.506715132,2.780542655,5.584897857,4.954327836,6.769186051,7.801155452,22.20979276,15.00704372,225.6698304,17,12,0.025,0.017647059
27,S01008443,Bonaly and The Pentlands,City of Edinburgh,595,333,0.02,10,0.02,10,20,15.39536185,64.31180394,52,0.099159664,0.0625,53.91253056,0.990196078,6.7,29.78510613,0,0.39705882,3.327427711,2.510493479,2.657912344,3.026768393,4.489732085,3.813044865,7.021709742,5.651559276,11.87671396,22.01033079,369.921526,9,4,0.015463918,0.006872852
28,S01008444,Colinton and Kingsknowe,City of Edinburgh,1109,812,0.01,15,0.01,5,30,23.78251923,0,53,0.112714157,0.027027027,61.67886713,0.946564886,5.94736842,46.77086823,0,0.07491857,2.584240886,2.267991524,3.304597742,2.519652385,7.501466987,5.470227642,6.835686164,8.983679025,18.06781543,13.00610456,117.2777688,57,6,0.091492777,0.009630819
29,S01008445,Colinton and Kingsknowe,City of Edinburgh,1369,861,0.06,80,0.02,15,75,61.38673939,51.96394104,70,0.099342586,0.02173913,84.34375006,0.909090909,5.61538462,69.34323813,0.03,0.03305785,3.370623469,2.049976231,3.165766297,2.800887593,7.714926537,5.162654909,7.502614224,9.608709152,19.89632616,8.003756652,58.46425604,95,6,0.104510451,0.00660066
30,S01008446,Colinton and Kingsknowe,City of Edinburgh,1092,602,0.01,10,0.01,5,25,15.39113047,0,46,0.076007326,0,49.6676717,1,6.4,17.62892033,0,0.05321508,3.209182286,1.817406166,2.808889627,3.385044109,7.435086302,5.274147759,6.028342184,7.555915216,18.40184832,22.01033079,201.5598058,13,3,0.016645327,0.003841229
31,S01008447,Colinton and Kingsknowe,City of Edinburgh,717,410,0.02,10,0.03,10,30,31.75152487,0,52,0.10181311,0.052631579,55.67259702,0.945454546,6.23076923,21.02553371,0,0.17910448,3.662598674,3.243399374,3.332707348,3.684958821,5.373890575,4.473096928,11.84918142,10.15224451,14.29241471,18.00845247,251.1639117,14,11,0.020740741,0.016296296
32,S01008448,Colinton and Kingsknowe,City of Edinburgh,770,474,0.04,25,0.04,20,40,5.79217953,0,53,0.125974026,0.047619048,57.52482642,0.920731707,6.2173913,53.58981412,0,0.1496063,2.597285215,3.90279675,3.672443745,3.165002804,5.044887441,5.142155421,12.78454959,11.04776476,12.42532455,29.01361786,376.800232,35,3,0.046357616,0.00397351
33,S01008449,Clovenstone and Wester Hailes,City of Edinburgh,838,539,0.3,250,0.2,105,145,139.0944413,240.7931946,123,0.190930788,0.050847458,121.4209587,0.755784062,4.63043478,142.2812159,0.12,0.03964758,3.059487834,2.317889233,3.607418189,1.709668765,4.324885883,3.361083255,8.013679324,10.43194024,11.78447798,15.00704372,179.0816673,125,14,0.157232704,0.017610063
34,S01008450,Clovenstone and Wester Hailes,City of Edinburgh,648,416,0.23,145,0.14,60,125,107.0440037,206.5068882,124,0.206790123,0.078431373,122.7020323,0.793478261,4,128.9590111,0.22,0.05813953,2.958198436,2.492121236,3.533412148,1.94373095,4.249297953,3.304825492,7.580447639,10.20092046,11.21745772,28.01314828,432.301671,116,11,0.209009009,0.01981982
35,S01008451,Clovenstone and Wester Hailes,City of Edinburgh,736,488,0.34,250,0.36,175,260,174.4938619,686.0967344,241,0.221467391,0.079365079,130.6410073,0.686006826,4.47619048,208.1406433,0.23,0.02139037,1.87536619,0.899264248,2.353433493,2.276836848,3.07202894,2.103428421,3.309678104,8.013751781,8.949463646,63.02958364,856.3802125,159,10,0.227467811,0.014306152
36,S01008452,Clovenstone and Wester Hailes,City of Edinburgh,656,416,0.41,270,0.28,120,220,484.6481395,555.7338158,173,0.18597561,0.103448276,149.5145388,0.76119403,4.83333333,170.6337242,0.21,0.07096774,2.340793278,1.987388503,2.90167989,1.797867333,3.618333951,2.900359137,6.462147424,8.022682181,9.328169615,33.01549619,503.2850029,163,4,0.258320127,0.006339144
37,S01008453,Clovenstone and Wester Hailes,City of Edinburgh,596,418,0.1,55,0.06,25,50,139.427661,135.9853028,133,0.124161074,0.069767442,114.0756936,0.766839378,5.07692308,121.1411369,0.12,0.05813953,2.410572336,2.44772227,2.998537547,1.777649715,3.715590808,3.135728005,8.194071074,8.939841933,9.653666031,10.00469582,167.8640238,192,4,0.37944664,0.007905138
38,S01008454,The Calders,City of Edinburgh,949,642,0.3,285,0.23,145,215,158.4862654,0,67,0.205479452,0.06779661,115.922516,0.712025317,4.71428571,138.5914102,0.08,0.03308824,1.959111388,2.072208485,2.48925341,3.237094213,3.109005212,2.185287369,10.5095793,8.365383812,9.082313315,33.01549619,347.897747,168,16,0.176656151,0.016824395
39,S01008455,The Calders,City of Edinburgh,1013,657,0.28,280,0.23,155,160,167.7192521,229.3198587,137,0.203356367,0.077922078,118.0112086,0.743478261,4.58823529,165.8675208,0.19,0.01010101,2.57717628,2.980461135,2.486647508,2.243271222,3.129002566,2.104677094,11.09182491,6.189174975,10.73159499,60.02817489,592.5782319,213,4,0.213,0.004
40,S01008456,The Calders,City of Edinburgh,985,695,0.31,305,0.32,220,230,398.1095864,361.7304451,197,0.233502538,0.02739726,147.9430848,0.74742268,4.52380952,155.4941447,0.32,0.02027027,2.358043852,2.687817033,1.567921377,1.419264528,3.332679803,1.953625126,10.97525701,4.833175778,10.94732272,38.0178441,385.9679604,203,26,0.208633094,0.02672148
41,S01008457,The Calders,City of Edinburgh,589,355,0.22,130,0.2,70,185,328.7603307,256.3467195,109,0.247877759,0.103448276,133.7758992,0.785046729,5,162.3429967,0.2,0.02941176,1.666880756,2.056611891,1.682447234,1.747839638,2.941051088,1.479658209,9.836522009,5.473701376,10.03254868,23.01080038,390.6757279,120,9,0.194805195,0.01461039
42,S01008458,The Calders,City of Edinburgh,993,659,0.14,135,0.11,70,95,119.1233553,194.5584188,113,0.187311178,0.068181818,99.5300572,0.838297872,5.14285714,134.4853259,0.16,0.02666667,1.682864423,2.100821895,2.311788225,2.19291207,3.010571448,1.809846131,9.94868205,8.772107552,10.0139487,43.02019201,433.234562,118,19,0.118712274,0.019114688
43,S01008459,Murrayburn and Wester Hailes North,City of Edinburgh,760,554,0.29,220,0.3,165,215,84.72866368,293.0588522,122,0.218421053,0.074626866,148.4746663,0.715789474,4.96875,152.3850844,0.22,0.02,1.366760092,1.968151386,1.651801629,2.615344068,2.369710232,1.933243311,7.598785467,6.187240166,6.905229395,213.1000209,2803.947643,122,34,0.164642375,0.045883941
44,S01008460,Murrayburn and Wester Hailes North,City of Edinburgh,819,508,0.35,290,0.28,145,220,227.8828263,396.2948735,162,0.183150183,0.102941176,143.6296343,0.643333333,5,196.1796882,0.14,0.02717391,1.911176405,2.93246108,2.498723589,2.078000005,3.216195001,2.612601633,9.098142815,9.357869537,10.07362097,62.02911406,757.37624,172,2,0.213664596,0.002484472
45,S01008461,Murrayburn and Wester Hailes North,City of Edinburgh,922,637,0.31,290,0.26,165,190,209.638024,487.6294823,159,0.219088937,0.06779661,134.9658454,0.634241245,4.625,186.2184879,0.17,0.03045685,2.039744606,2.984019845,2.535987402,2.064448848,3.344763002,2.756536879,8.905519699,8.929885111,9.650186079,83.03897527,900.639645,167,14,0.182713348,0.015317287
46,S01008462,Murrayburn and Wester Hailes North,City of Edinburgh,580,396,0.34,200,0.35,135,215,315.9010102,302.9471351,172,0.29137931,0.111111111,150.063497,0.65625,5.125,188.0690855,0.14,0.04225352,2.667535902,3.641543042,3.363625866,1.785474772,4.186967366,2.845189554,10.35476957,9.442925614,10.55714521,29.01361786,500.2347908,62,1,0.109929078,0.00177305
47,S01008463,Murrayburn and Wester Hailes North,City of Edinburgh,702,496,0.27,190,0.26,130,190,128.4131742,472.8845449,158,0.210826211,0.03125,125.0076362,0.700636943,4.73333333,171.7145466,0.34,0.01886792,2.36974254,3.007796798,2.469507476,2.580814194,3.546043087,3.155068071,9.661626847,9.451242481,10.28552236,63.02958364,897.8573168,141,7,0.210447761,0.010447761
48,S01008464,Parkhead and Sighthill,City of Edinburgh,845,539,0.08,70,0.06,30,60,18.7524373,63.10485301,88,0.166863905,0.025641026,90.85616191,0.720207254,4.8125,118.9116049,0.12,0.02654867,2.363882652,1.832307344,1.346717657,1.864409594,4.078714693,3.583715686,7.420794157,4.748811817,11.77761772,34.01596577,402.555808,137,34,0.161176471,0.04
49,S01008465,Parkhead and Sighthill,City of Edinburgh,735,461,0.11,80,0.08,40,75,51.30921603,0,120,0.165986395,0.076923077,98.44201147,0.852631579,5.69230769,115.3555978,0.09,0.07526882,1.885214905,2.405249782,1.531344308,1.861066377,3.657600171,2.810842112,9.528018817,5.155859209,11.90189353,33.01549619,449.1904244,88,24,0.118598383,0.032345013
50,S01008466,Parkhead and Sighthill,City of Edinburgh,654,427,0.17,115,0.11,50,85,101.5735563,76.83499913,53,0.186544343,0.048780488,95.81902721,0.772972973,5.04,116.8488106,0.09,0.04545455,1.825784153,2.37375182,1.843135092,0.842257578,4.005530169,2.598425177,9.836088795,6.626202976,12.40545714,22.01033079,336.5494005,107,18,0.143817204,0.024193548
