CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG
40,20.68860415,0,63,0.110011001,0,53.80087004
30,20.34641268,0,55,0.119176598,0,56.11367698
30,31.18674613,78.33244266,64,0.097023153,0,55.13631407
30,8.904192756,0,31,0.120155039,0,47.07317312
45,13.2323553,0,94,0.127272727,0,73.70936849
55,63.9316773,182.8807748,107,0.164210526,0.071428571,69.61178874
20,39.26672746,0,49,0.087011349,0.047619048,52.30819789
70,126.476394,40.13656494,83,0.129449838,0.046511628,65.55296438
45,59.44527152,0,76,0.127147766,0.057142857,58.87904835
20,42.86208127,29.91176876,24,0.095588235,0.034482759,48.97903695
30,12.2400884,0,52,0.105137395,0.041666667,53.7635408
20,16.86301247,0,69,0.098092643,0,55.85789281
25,4.976975793,0,95,0.090407938,0,49.06662931
25,9.144347194,0,50,0.107505071,0,49.29427785
20,37.36682618,57.82913445,45,0.091457286,0,43.75868914
155,190.0372046,335.0806637,97,0.207440812,0.0625,104.8119795
110,148.0104855,39.70758587,91,0.168846611,0.058823529,113.5364065
85,96.02701648,93.70205023,96,0.192922374,0,92.18863769
50,115.9567172,35.78691734,79,0.142098274,0.03125,74.01415003
70,60.32543157,126.5935507,83,0.130081301,0.074074074,80.12420463
85,33.04745756,0,84,0.174033149,0.041666667,94.51576799
160,220.7654251,616.4478513,141,0.228650138,0.081632653,106.9854535
120,157.0402088,180.5573978,100,0.201834862,0,109.9748975
100,101.5200997,0,58,0.139784946,0,93.07118026
65,49.40594918,0,115,0.122580645,0.050632911,107.0651736
30,27.73529871,0,41,0.102040816,0.019230769,50.04088776
55,37.77281129,51.25190713,40,0.12605042,0,56.51835495
40,25.35204938,116.5944483,53,0.134146341,0,58.47984959
20,21.0366708,0,54,0.115987461,0,54.69406585
30,8.131284368,77.23046527,40,0.139575972,0,56.58948628
25,38.31626667,0,69,0.132190942,0.052631579,49.55855766
30,10.26367199,0,78,0.120317821,0.04,55.07540519
20,86.19704899,0,55,0.112,0.028571429,52.56103602
30,24.82720966,65.94691568,77,0.098330241,0.034482759,61.152501
25,52.18492184,0,43,0.10106383,0,53.24205537
15,7.366285162,0,74,0.070093458,0,45.7744528
20,5.298268754,0,54,0.106861642,0,55.52844592
20,36.64260811,0,49,0.134517766,0,51.79120352
55,42.70111977,0,58,0.130477118,0,87.5867514
70,5.91935353,0,67,0.142191142,0,102.2215357
80,33.1285528,92.72828359,78,0.162162162,0,88.00744949
35,16.52204104,0,60,0.121673004,0.058823529,69.47137924
60,36.75613819,66.88844271,65,0.154010695,0,79.14546639
45,25.73491336,0,54,0.14709236,0,69.79855009
105,58.2880122,64.9421387,113,0.178907721,0.074074074,103.7065273
165,177.2958868,112.4561895,148,0.176470588,0.03125,136.6831131
175,261.0706291,170.0388569,128,0.170989433,0.077922078,137.3928395
170,148.8091949,332.2500676,111,0.183804627,0.058823529,134.2677301
145,232.4781323,263.5843534,150,0.162601626,0.053333333,154.9664615
150,205.5210908,216.110077,110,0.199095023,0.102040816,130.6983241
140,125.971043,134.168201,99,0.185495119,0.074074074,121.073932
145,182.259597,124.2959627,95,0.193548387,0.055555556,113.2067666
100,143.6542295,347.0425283,102,0.160283688,0.026315789,100.7729959
185,239.3513907,232.3379695,126,0.202502844,0.03030303,173.7016305
135,156.7662331,136.0052842,113,0.206650831,0.046511628,145.556603
125,53.55373163,46.74409375,87,0.226688103,0.117647059,138.64845
160,143.7232429,345.4082629,125,0.229910714,0.052631579,130.519431
135,325.8818486,187.3067418,157,0.203892493,0.022727273,121.1141104
140,47.35395919,165.33694,114,0.198945982,0.052631579,111.4337171
75,45.35331198,0,79,0.148514851,0.071428571,85.84094337
260,257.8100828,571.5841571,95,0.247875354,0.061538462,143.9403294
175,148.7236325,521.6884255,143,0.218068536,0.018181818,134.5839901
120,89.8442111,201.7216557,84,0.182634731,0,111.1090197
115,28.17452096,0,186,0.207126949,0.073170732,85.35503244
65,62.75560145,0,136,0.169642857,0.043478261,78.06033976
60,12.58346133,35.45399306,411,0.111111111,0,88.68936761
35,23.76623271,0,79,0.108614232,0,50.84866743
60,73.10792837,145.5235265,44,0.142174432,0.037037037,64.16960084
80,89.37418406,0,176,0.209223847,0.041666667,87.89177128
50,53.98641647,0,113,0.17961165,0,57.82999073
75,24.74519568,0,167,0.204272363,0,65.54942823
75,17.44741772,0,71,0.118584071,0,79.22887424
150,207.3165961,158.5846861,106,0.231316726,0.033333333,123.8922176
120,160.6222015,416.1027883,131,0.180746562,0.020833333,111.5829214
115,144.6054078,162.9096496,72,0.179083095,0.027027027,107.6255299
100,90.40234463,0,85,0.138823529,0.028571429,101.8603956
115,61.29189062,383.0185028,115,0.159395973,0.071428571,103.2585746
125,106.0739846,112.5231818,117,0.184210526,0.034482759,126.7510902
65,30.95691289,0,137,0.142147117,0,76.70934053
35,18.54575449,0,74,0.10295858,0.045454545,65.81848104
65,100.832394,0,68,0.128140704,0,66.09021336
50,21.24067205,0,66,0.099378882,0,62.74543539
50,174.7993234,247.4076493,56,0.113557358,0,65.345465
80,64.26934388,30.0213772,98,0.1272509,0,86.60180373
30,12.35843374,0,50,0.126631854,0,61.85895074
45,91.15712704,161.7243715,47,0.131277533,0.024390244,69.29662201
150,162.1381805,229.5440007,154,0.248612653,0.03030303,119.9878894
120,148.152823,624.1231916,121,0.1774942,0.083333333,110.9362932
50,42.54736924,40.83678014,62,0.150058617,0,64.88160842
65,86.68659245,32.12329758,68,0.122739018,0.038461538,57.90348743
25,103.5277853,55.37622398,50,0.105855856,0.033333333,52.68076
40,88.67836733,104.8166824,90,0.102439024,0,51.91732533
45,69.25194314,108.5103132,66,0.075363596,0,50.78175075
20,79.08372366,57.33971933,84,0.069666183,0.03125,66.21841025
100,61.42582725,54.55908368,127,0.14013346,0,60.99073554
40,32.59117255,91.71540969,83,0.089795918,0.071428571,42.2690305
25,0,28.55753822,67,0.07881137,0.060606061,42.50009245
35,12.83149606,37.5220295,50,0.111254851,0,63.62527898
35,22.14910242,0,54,0.116719243,0,66.59069331
45,6.694722425,0,126,0.134062927,0.090909091,53.04208064
50,21.74541161,77.31232983,134,0.165697674,0,56.90849488
40,6.632298972,0,70,0.100244499,0.05,82.27954394
30,13.08836367,16.68535421,67,0.085059172,0.040816327,34.86978515
65,169.2196439,26.08541872,98,0.108254398,0.027777778,64.12373419
35,54.99875515,63.61009694,85,0.126302083,0.117647059,49.74090515
60,40.73573325,61.06134604,71,0.120058565,0,71.75791046
35,85.53503799,27.13521915,99,0.105855856,0.111111111,63.71463584
15,18.42969082,0,101,0.072642968,0,38.85223011
25,15.34343405,0,68,0.084724005,0,49.67149584
15,26.28069934,61.53969303,21,0.075630252,0,37.89679737
30,22.70592651,0,100,0.084291188,0,53.11521108
20,23.12000926,26.21623372,74,0.095118899,0.058823529,34.13802028
15,23.76884869,58.98725506,66,0.078608247,0,33.2709119
25,10.11229744,0,45,0.101727447,0,49.74221747
10,11.66258563,27.31450158,33,0.085987261,0,48.88414526
50,23.86879256,0,106,0.11965812,0,52.60960386
40,113.5305986,0,84,0.11754386,0,44.46962379
20,27.2465261,56.45398322,59,0.090909091,0,40.19287192
35,47.10826641,42.49822387,114,0.131147541,0,46.99810226
60,22.60448203,33.17298336,102,0.121212121,0,64.25485357
50,16.80707045,0,93,0.118243243,0,55.05719624
35,63.5230226,66.379466,61,0.109243697,0.05,48.5821009
55,52.15562223,106.4630245,89,0.113557358,0.060606061,55.07530477
105,124.3207327,20.62924449,161,0.104918033,0.05,94.61349354
55,66.76170159,35.99229497,63,0.137931034,0,67.6756119
35,82.50736736,0,67,0.085948158,0.095238095,55.47942122
35,5.939569899,0,100,0.117433414,0.028571429,46.67943976
40,6.30435016,33.44967116,74,0.113500597,0,57.52481433
45,21.20464271,0,67,0.122783083,0.022222222,56.25136454
75,45.32381816,0,109,0.154109589,0.033333333,80.82578964
50,149.1705508,200.8739374,72,0.122162162,0.074074074,59.87479565
25,26.83243919,0,39,0.107358263,0.042553191,45.98777427
15,26.35161117,0,66,0.086907449,0.023809524,41.17386096
20,27.51709682,20.90218227,44,0.0943194,0,49.7419676
35,21.32159964,0,62,0.09375,0,38.91045759
75,35.24544558,0,59,0.117166213,0.085714286,63.05390841
25,7.246127964,0,71,0.082294264,0,57.33072329
45,65.25562197,64.63554528,54,0.104377104,0.06122449,48.44743462
35,69.76218154,0,37,0.124386252,0.055555556,47.66822336
50,94.96618476,122.8896203,112,0.120938628,0.12195122,65.6776003
80,84.24759976,33.6169219,163,0.184238552,0.111111111,65.23712849
90,52.52065762,103.2259457,102,0.162698413,0.020833333,65.72829274
85,149.9207288,199.7008869,100,0.126971609,0.08,75.39474578
140,134.4230554,172.1029321,101,0.197463768,0.057142857,68.75077499
130,94.75679497,92.82534489,102,0.147712418,0.043478261,80.95231872
115,86.44393898,62.67856659,130,0.1565762,0.02,71.55662607
115,68.50520963,20.1701693,119,0.124843945,0.128205128,65.91790542
165,121.2936216,262.0950386,133,0.187116564,0.054054054,106.5358215
115,54.4487213,121.9290901,109,0.153846154,0,77.88085936
120,112.9783648,144.8098221,85,0.141605839,0,81.26291489
105,187.1472347,183.2580187,77,0.163690476,0.025,94.36219055
40,70.1003071,38.28872367,68,0.104864865,0,59.64574184
90,78.91962403,80.90539365,77,0.125708885,0.081081081,64.01284095
95,71.91378649,93.5102232,199,0.154246101,0,69.00287717
115,202.693398,379.4937255,85,0.151955307,0.05,99.34412118
80,64.67358683,75.55473078,102,0.139082058,0,59.85886754
90,101.899343,126.0362946,75,0.118842846,0.019230769,62.59496466
35,18.10700351,20.54231394,118,0.090648855,0,42.75615474
55,43.16162909,121.2808767,49,0.121,0.032258065,51.48397083
40,17.55561441,58.76382024,75,0.0906298,0,44.93998742
20,39.23829991,0,75,0.077067669,0.1,50.09513676
40,64.43837723,0,76,0.107806691,0.055555556,43.11578646
55,97.33766714,55.21549952,126,0.115598886,0.047619048,53.68753705
40,31.23161573,56.53681038,94,0.119302949,0.076923077,47.18501458
75,90.37999854,16.12662319,125,0.118070554,0.020833333,64.28053204
75,90.61213129,126.6243192,111,0.11715089,0.03125,60.94833257
115,291.7509854,250.5103037,61,0.146699267,0.047619048,88.53850952
65,283.1883519,296.9186559,78,0.093278464,0.08,108.1983025
90,161.9315422,241.658416,119,0.107476636,0,87.40185127
105,385.3209668,251.0211,206,0.096412556,0.025,82.18113483
205,195.049678,537.0666698,105,0.144480519,0.038461538,99.84147709
100,80.35957698,230.6784121,67,0.137770898,0,66.8236784
125,64.11512466,0,109,0.136450382,0.026315789,76.93066848
110,82.31358316,23.90258113,81,0.128518972,0,71.3956537
155,168.0876109,398.3607967,149,0.161231884,0,86.30615011
155,249.4804057,265.4452503,110,0.187939698,0,84.96387829
180,260.3926844,247.7869073,93,0.186773905,0.034482759,113.9056955
155,89.27776988,200.1574576,127,0.188659794,0.022727273,113.6067695
60,67.29810404,65.98233875,120,0.104947526,0.06,58.0221208
60,20.3582612,18.3949429,50,0.147302905,0.040816327,49.89690619
75,93.79466156,39.0950093,67,0.124022346,0.056603774,79.93375628
60,104.7366208,89.26376799,62,0.130663857,0.054545455,60.45058494
90,90.27861988,14.43847458,92,0.128292268,0.014285714,59.55646913
70,98.05918803,126.8380451,28,0.157142857,0.02173913,60.13089586
60,105.2313823,143.5511088,62,0.164210526,0,84.48352534
50,86.69501966,34.38411417,60,0.103166496,0.016393443,70.32580047
65,34.68925378,0,116,0.110666667,0.040816327,80.60133941
20,20.77051529,86.69531072,67,0.088820827,0,47.49913951
35,4.295099519,0,51,0.129032258,0.023809524,63.34978511
85,27.37224276,0,65,0.130952381,0,77.36953179
100,98.18891111,382.0721959,114,0.160893855,0,89.42289833
40,70.50567094,136.5033089,79,0.105263158,0,61.8639916
175,197.3472966,109.0238156,132,0.191027496,0.050847458,208.6816325
120,62.19560015,0,96,0.130990415,0.068181818,67.34629904
215,135.7224553,455.9782531,221,0.209677419,0.073170732,150.0179339
185,54.59644255,96.79813487,557,0.204353083,0,126.211044
185,156.6242065,199.9155369,157,0.191780822,0.058823529,135.5665526
50,359.3277973,637.4582732,169,0.174193548,0.027777778,157.1544387
265,321.5065046,489.9134255,206,0.213347921,0.073529412,163.5260201
205,599.7428402,817.5678161,237,0.256716418,0.03125,157.0714892
215,70.2362496,142.6560611,190,0.176933159,0.038461538,135.3040127
520,174.5033722,104.4545597,232,0.203661327,0.057142857,139.7031712
180,205.6884486,82.35406243,136,0.218705036,0,126.7267189
210,361.8034093,616.2666682,174,0.297394429,0.078431373,152.3268837
205,107.7985226,356.072467,159,0.271860095,0.021276596,121.8884643
150,259.8532761,234.433056,101,0.177504394,0.038461538,118.8005553
140,100.2356002,240.6486689,116,0.225,0.157894737,119.8250708
155,57.20424738,59.90909133,81,0.242026266,0.0625,94.1154747
85,59.62020543,60.83344967,34,0.164677804,0.083333333,68.26599485
80,81.15341735,0,59,0.147001934,0.15,95.19406816
80,61.18381018,52.62790601,86,0.149903288,0.071428571,93.81037442
120,137.3032456,107.0031463,141,0.142592593,0.055555556,114.3797343
45,33.56277669,66.05037142,56,0.125603865,0,64.94414529
95,82.58995402,36.68014164,74,0.155172414,0.052631579,89.03073028
45,53.10088935,40.14196869,59,0.120805369,0.05,55.29546456
60,48.71759745,32.01770198,108,0.150527325,0,83.07179048
65,132.9533832,40.52581776,77,0.139107612,0.037037037,89.39395912
25,31.463073,0,89,0.094117647,0,60.00861882
55,27.05941881,56.11287658,141,0.146953405,0.034482759,69.92833891
115,99.05358368,99.02983242,100,0.153169014,0,99.16190686
40,34.37818883,0,102,0.120879121,0,63.61727182
85,107.7441514,50.31864529,73,0.154420922,0.0625,73.88405594
115,65.98505868,0,105,0.21749409,0.076923077,93.82837347
135,102.0297628,206.0768894,109,0.152459016,0.032258065,96.50920505
75,74.48645121,26.9081827,92,0.196636481,0.047619048,77.88367376
75,57.41651273,49.77204818,64,0.15640599,0.074074074,73.11330974
45,33.67900477,33.82592319,67,0.113974232,0.130434783,66.19513537
60,38.84972058,47.39066035,92,0.120160214,0.038461538,79.55246384
45,23.29863168,44.4888196,49,0.126353791,0.041666667,71.9655861
40,5.961576499,0,97,0.107487923,0,54.36387084
65,8.399216769,0,48,0.169312169,0.105263158,68.46669283
30,42.12736946,0,46,0.110091743,0.066666667,70.56503022
50,39.86871618,37.25151387,74,0.124064171,0,58.73613869
80,66.63439564,127.2365298,73,0.192842942,0,114.5620509
90,195.6788566,132.0599732,95,0.151111111,0,123.9005786
90,205.1121288,323.5284645,87,0.176036866,0,96.67692007
45,10.3252168,0,110,0.115789474,0,56.2997865
140,221.0895765,330.7548838,96,0.18997107,0.058823529,116.9433681
55,28.13103668,0,71,0.135353535,0,62.26669679
35,42.73926659,0,43,0.107413011,0,71.84170796
45,56.55803924,0,66,0.138075314,0,65.81865264
55,18.86921406,175.3520151,59,0.140226629,0,65.30517931
125,39.93643743,220.8365836,105,0.194489465,0.047619048,101.9618682
190,166.637814,348.2939103,125,0.280263158,0.035714286,140.3544966
175,251.1083131,185.34244,123,0.17844523,0.055555556,109.6623838
85,169.8674356,178.3532212,166,0.149925037,0.027027027,88.70416135
135,227.0856131,276.4120414,123,0.16185567,0.032786885,107.5541662
145,167.0820665,396.5723402,85,0.22172619,0.088235294,122.772582
265,541.5834256,564.2031196,476,0.285245902,0.045454545,188.6203873
180,226.2178416,601.4551445,131,0.236342043,0.023809524,153.1021537
195,219.601236,283.1071782,153,0.241962775,0.074074074,143.0715207
245,259.2991002,702.4508372,170,0.257231405,0.075471698,143.5633804
100,258.8296172,26.49392584,137,0.137755102,0.162790698,96.94289481
55,172.4605051,50.17773118,87,0.152941176,0.045454545,98.19692932
50,176.0499852,24.76115935,67,0.10845987,0.022727273,71.32345373
65,61.86941377,76.3045867,102,0.152517986,0,77.6536702
60,232.2090789,135.6796865,95,0.137772675,0,108.3310013
75,84.07709623,0,102,0.155445545,0.034482759,71.86451767
80,48.07805738,0,54,0.163339383,0,80.83177029
95,131.6936135,109.062159,273,0.183121019,0,97.62920739
110,40.47446019,0,40,0.113062569,0.051724138,59.50790677
60,31.6772658,18.92258887,9,0.083148559,0.01754386,49.32719576
70,70.70122115,194.0961161,92,0.09009009,0.027027027,81.70073445
50,69.28506965,153.8890327,85,0.147959184,0,94.08631203
115,133.6695605,224.4314716,147,0.170313987,0.055555556,109.0870616
170,80.89241448,293.3007146,199,0.228665208,0.050632911,107.4434941
90,111.0902096,257.8956229,76,0.140786749,0.066666667,72.7736715
170,247.8302966,293.0555355,171,0.228070175,0.090909091,121.9350183
205,267.887233,421.2560783,147,0.227106227,0.050847458,149.4605464
90,115.1263855,79.71062201,104,0.148387097,0.013333333,80.71786801
55,11.90927993,0,51,0.103773585,0.021276596,47.39160912
95,143.4354067,107.9509444,79,0.11130742,0.028571429,68.70443754
85,341.7696457,214.837051,160,0.168059424,0.018867925,114.2957201
105,123.2065168,315.7924126,135,0.173051519,0.056603774,92.32478175
80,31.44367536,34.48616017,48,0.085953878,0.071428571,36.79549934
30,53.88116842,113.64468,166,0.169724771,0,66.313382
200,162.1714446,266.1219481,159,0.216409037,0.066666667,129.2622123
95,231.1611786,371.6821364,90,0.168958743,0.074074074,98.34333804
285,349.2670847,871.9625751,244,0.24863388,0,140.1157911
80,65.61695333,20.94611146,162,0.107594937,0.022222222,79.73924551
170,210.3722542,488.3890023,118,0.216383308,0,126.3129567
165,183.9015967,207.7118821,178,0.202962963,0,99.92528793
60,45.41941525,219.7382342,63,0.112097669,0.017857143,67.96526722
100,80.53362471,145.8230418,165,0.183377309,0,111.2320488
155,208.9306503,379.4041897,97,0.146868251,0.071428571,116.6873279
150,123.8716663,466.1485577,133,0.196078431,0,137.0430739
80,73.38848433,118.0870427,117,0.126019946,0.03030303,70.16698148
85,450.5175308,253.5539025,155,0.150744961,0.081967213,118.023048
95,128.8469716,53.47264437,120,0.12936345,0.038461538,90.13183973
100,62.9780517,108.062,111,0.130489335,0.014492754,70.00287057
80,96.91568457,22.89178457,206,0.09383378,0.026315789,80.92381354
65,84.18961095,68.88359737,69,0.108309991,0.012820513,60.09306509
80,64.65298282,49.57536873,100,0.124593716,0.053571429,76.67307411
120,220.7891438,115.7804291,159,0.129064039,0.048387097,111.7603677
130,443.3438162,184.4245859,131,0.141806723,0.018518519,128.2324011
120,182.5479721,184.3544977,240,0.234836703,0.04,90.41848055
60,233.6024048,54.13555532,69,0.096308186,0.021276596,77.62813052
70,54.44724747,75.48425645,90,0.105940594,0.072727273,50.70749715
90,97.36376695,63.90691396,138,0.151948052,0.02173913,75.82028245
95,114.0487253,159.1689333,87,0.157446809,0.060606061,89.07445872
35,22.80100901,133.7772288,22,0.092257002,0,49.8359706
20,13.44009986,0,100,0.08815427,0.051282051,36.24991688
35,16.16117463,20.32248667,48,0.082497213,0.026315789,59.78505107
30,39.67428321,0,87,0.126361656,0.032258065,54.73942934
120,155.3822709,362.3651746,88,0.160481444,0.03030303,110.12747
65,103.9143627,273.2829207,62,0.125695217,0,70.52924087
95,136.609614,71.26960092,92,0.139407245,0.125,73.91851972
90,231.6586591,182.4968667,72,0.135972461,0,87.73826346
120,137.7549954,112.3601784,147,0.15403423,0.023809524,106.3695269
45,70.00035695,0,82,0.123798077,0.066666667,67.00898473
60,49.79126209,0,230,0.175033921,0.041666667,79.3627091
150,267.0640206,196.1675595,111,0.170044053,0,115.4320661
30,42.26113113,37.51676391,106,0.115921788,0.023809524,61.24379119
40,0,42.05190216,33,0.106796117,0,54.92789372
45,14.02816296,0,85,0.13561848,0.08,64.10457503
35,34.06100972,26.50903768,90,0.133472367,0.027777778,60.00219664
45,15.24877823,210.4202039,85,0.1352657,0,65.91008387
70,193.4470801,93.51592402,116,0.166894665,0,85.75188534
35,27.02931328,0,91,0.12,0,54.38559562
35,22.64015355,0,77,0.117714286,0.035714286,68.36207684
50,57.3704794,130.9471313,80,0.127544098,0.04,57.96602743
55,45.8628396,36.93926435,53,0.104039168,0,65.80779088
35,18.2798616,0,56,0.1334214,0,52.63873805
35,88.73356852,253.7371183,94,0.11662531,0.045454545,81.24337717
50,138.0881737,70.76822476,85,0.116431925,0,77.25350009
40,37.29038205,24.5527116,103,0.152249135,0.035714286,59.7994357
55,22.25928494,35.67675891,70,0.139056832,0.076923077,66.41165403
130,262.5102182,327.8987937,132,0.17888563,0.037037037,107.38709
65,94.45978771,72.35022816,84,0.106161137,0.013888889,61.82329878
45,107.5344835,16.83465931,66,0.131956912,0.06779661,54.24321905
60,70.59864253,50.79180437,61,0.094782609,0.054545455,60.18141952
35,51.9914998,0,73,0.107665805,0.0625,63.98646692
15,40.21807546,0,52,0.098101266,0,64.60433779
35,60.52848807,65.69898344,31,0.080448065,0,62.17964559
65,90.78877725,85.29941015,48,0.115025907,0.016949153,64.14685307
60,57.81309019,0,65,0.092265943,0.133333333,66.78932309
20,68.23519105,0,47,0.082324455,0.020833333,64.91879351
70,93.7941045,83.42691211,102,0.105865522,0.034482759,63.25270809
25,32.28096385,0,27,0.060897436,0,37.16939565
45,42.48529634,85.40411593,51,0.138763198,0,49.19112182
30,63.13450051,0,42,0.082132565,0,42.38890789
25,31.96066074,0,50,0.08739255,0,43.32111741
80,173.3078582,384.0580886,75,0.132206759,0.046511628,82.74977058
30,80.16312643,78.5472956,42,0.088477366,0,53.38177229
25,111.8146793,31.78995504,64,0.116472546,0,49.19334709
10,14.75465312,0,62,0.067596567,0.045454545,41.21777134
30,45.29119339,16.56908945,65,0.099107143,0.028571429,52.26820413
35,25.18254631,0,148,0.12908778,0,38.92045628
30,38.25097656,0,30,0.118954248,0.020408163,62.18885813
20,0,35.88787949,62,0.115517241,0.027777778,42.52852134
55,38.02920913,0,72,0.141459075,0,80.19805381
55,89.97721471,0,100,0.127071823,0.063829787,77.58954917
10,11.45992667,0,40,0.112113402,0,47.90880898
45,67.74337231,37.1053365,42,0.117708333,0.015625,64.38466185
